codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
20177233-04;20177233-04;2017723304;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20019918-02;20019918-02;2001991802;;;;;;;56;;;142;;;30;;;;;0;228;0;{'1': [], '2': [6105, 6083], '3': [7040, 14569, 3050, 3051, 7025], '4': [8995], '5': []}
20088574-01;20088574-01;2008857401;;;;300;;;420;;;200;;;660;;;60;;0;1640;0;{'1': [4256, 5773, 3152, 6768, 11129, 11130], '2': [2339, 10404, 2615, 9708, 10575, 1809, 9399, 2590], '3': [4864, 921, 4619, 8397], '4': [9470, 7805, 12102, 9896, 3689, 2542, 11315, 6717, 6590, 12127], '5': [696]}
20125116-03;20125116-03;2012511603;;;;21;;;1;;;2;;;1;;;;;0;25;0;{'1': [1038, 1039, 1040, 6288, 6289, 4244, 3741, 8485, 8486, 13643, 13644, 13645, 13646, 13647, 13648, 6645, 6646, 6647, 1272, 1271], '2': [1035], '3': [5608, 5943], '4': [4381], '5': []}
20125116-01;20125116-01;2012511601;;;;11;;;;;;;;;1;;;;;0;12;0;{'1': [8064, 13037, 4238, 13038, 8062, 8063, 5788, 5789, 5790, 3167], '2': [], '3': [], '4': [5891], '5': []}
20014730-06;20014730-06;2001473006;;;;;;;60;;;30;;;30;;;;;0;120;0;{'1': [], '2': [8569], '3': [11270], '4': [3338], '5': []}
20032093-13;20032093-13;2003209313;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20032093-06;20032093-06;2003209306;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20096037-02;20096037-02;2009603702;;;;650;;;750;;;940;;;570;;;30;;0;2940;0;{'1': [8614, 4904, 14092, 14523, 3918, 3919, 3920, 13786, 14360, 10873, 10874, 13787, 6428], '2': [4872, 1052, 11549, 3750, 12073, 7475, 14003, 571, 9660, 3521, 9666, 1349, 10056, 7117, 13029, 7789, 11632, 13042, 2935, 14584, 10109], '3': [5772, 1813, 9501, 4136, 5929, 7722, 8616, 11308, 12720, 5823, 10437, 4934, 8399, 3027, 3030, 2276, 6253, 623, 5872, 4468, 2805], '4': [1249, 7035, 12389, 4702, 4234, 11775, 2988, 5297, 3028, 6362, 2267, 11644, 4382, 6335], '5': [308]}
20096037-06;20096037-06;2009603706;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20044557-03;20044557-03;2004455703;;;;27;;;25;;;22;;;30;;;113;;0;217;0;{'1': [3754, 3755, 8779, 13676, 6574, 13677, 13678, 4113, 4114, 1203, 1204, 4115, 4116, 10778, 10779], '2': [1037, 12014, 6832, 6833, 6834, 6835, 4148, 4149, 6836, 9334, 730, 731, 9335], '3': [12000, 4073, 4074, 4075, 4076, 1005, 4077, 6735, 6736, 6737, 12469], '4': [13059, 14597, 14910, 8265, 5131, 5132, 5133, 5134, 14607, 14834, 14835, 1717, 1718, 1719, 14933, 13822], '5': [1922, 1539, 1542, 647, 1801, 778, 651, 652, 780, 1550, 1802, 530, 658, 786, 1810, 1939, 664, 539, 796, 1311, 545, 802, 36, 549, 1574, 1703, 40, 1964, 45, 1582, 1585, 1587, 1971, 311, 57, 1979, 832, 1475, 1995, 1494, 1495, 344, 604, 862, 1249, 1762, 103, 237, 1138, 756, 1144, 634, 1532, 1533, 126]}
20032011-09;20032011-09;2003201109;;;;11;;;;;;;;;3;;;31;;0;45;0;{'1': [12871, 723, 2996, 10197, 2995, 2997], '2': [], '3': [], '4': [14965, 14964, 12845], '5': [833, 1478, 1514, 1803, 1580, 909, 878, 1263, 624, 2095, 563, 1972, 2099, 794, 1853]}
