codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
20177233-04;20177233-04;2017723304;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20019918-02;20019918-02;2001991802;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20088574-01;20088574-01;2008857401;;;;570;;;420;;;600;;;690;;;120;;0;2400;0;{'1': [5538, 8037, 8805, 10246, 4555, 8814, 2709, 8181, 9943, 9115, 6844], '2': [7426, 2374, 9548, 13231, 2450, 4597, 3707, 7325], '3': [4035, 10212, 2058, 12234, 12718, 12751, 5299, 6131, 8666], '4': [6473, 14507, 12108, 6094, 8078, 14831, 7089, 9207, 5974, 7318, 8476], '5': [2578, 622]}
20125116-03;20125116-03;2012511603;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20125116-01;20125116-01;2012511601;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20014730-06;20014730-06;2001473006;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20032093-13;20032093-13;2003209313;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20032093-06;20032093-06;2003209306;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20096037-02;20096037-02;2009603702;;;;550;;;540;;;240;;;270;;;30;;0;1630;0;{'1': [10370, 13282, 12196, 9126, 2791, 3084, 14860, 10160, 4497, 13328, 14878, 8383], '2': [14112, 10107, 7302, 2247, 4840, 8314, 14667, 14668, 6479, 3861, 3480, 3066, 8315, 14204], '3': [2734, 11535, 9172, 3800, 10266, 3803], '4': [710, 4102, 13358, 5009, 9396, 4116], '5': [184]}
20096037-06;20096037-06;2009603706;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20044557-03;20044557-03;2004455703;;;;5;;;;;;;;;;;;;;0;5;0;{'1': [14840, 13403, 10166, 9974], '2': [], '3': [], '4': [], '5': []}
20032011-09;20032011-09;2003201109;;;;4;;;;;;;;;;;;;;0;4;0;{'1': [9928, 10497, 8155], '2': [], '3': [], '4': [], '5': []}
