codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;total_entregado_total;total_entregado_parcial;total_pendiente;Total;matched_rows_per_source
1981349;1981349;1981349;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20066224;20066224;20066224;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20091441;20091441;20091441;;;16;;;2;;;18;0;0;18;{'1': [5219, 10980, 11300, 4358, 4362, 2091, 1868, 4363, 4347, 7987, 694, 1143, 5273, 4346, 4343, 4318], '2': [4928, 3436]}
2015244;2015244;2015244;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20091953;20091953;20091953;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20125666;20125666;20125666;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20175802;20175802;20175802;;;;540;;;90;;0;630;0;630;{'1': [4522, 6026, 9135, 9044, 1209], '2': [3418]}
20175802;20175802;20175802;;;;540;;;90;;0;630;0;630;{'1': [4522, 6026, 9135, 9044, 1209], '2': [3418]}
20067032;20067032;20067032;;;480;2010;;270;120;;750;2130;0;2880;{'1': [7044, 8583, 2056, 8584, 1169, 7057, 5140, 12447, 2720, 163, 9391, 3506, 3634, 12344, 1210, 9403, 7868, 8265, 6603, 4812, 9806, 5742], '2': [1544, 5458, 3163]}
20006732;20006732;20006732;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20006732;20006732;20006732;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20027260;20027260;20027260;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20083745;20083745;20083745;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20102968;20102968;20102968;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19955147;19955147;19955147;;;;;;;;;0;0;0;0;{'1': [], '2': []}
0;0;0;;;;;;;;;0;0;0;0;{'1': [], '2': []}
53444;53444;53444;;;;;;;;;0;0;0;0;{'1': [], '2': []}
0;0;0;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20058786;20058786;20058786;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20154835;20154835;20154835;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20108845;20108845;20108845;;;;;;;2;;0;2;0;2;{'1': [], '2': [2638]}
20223087;20223087;20223087;;;;;;;;;0;0;0;0;{'1': [], '2': []}
0;0;0;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20194427;20194427;20194427;;;;;;;;;0;0;0;0;{'1': [], '2': []}
53444;53444;53444;;;;;;;;;0;0;0;0;{'1': [], '2': []}
#N/D;#N/D;ND;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19993862;19993862;19993862;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20175246-1;20175246-1;201752461;;;;;;;;;0;0;0;0;{'1': [], '2': []}
#N/D;#N/D;ND;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20234571;20234571;20234571;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19955262;19955262;19955262;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19955608;19955608;19955608;;;;;;;;;0;0;0;0;{'1': [], '2': []}
63654;63654;63654;;;;;;;;;0;0;0;0;{'1': [], '2': []}
1981349-1;1981349-1;19813491;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20157433;20157433;20157433;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20194528-01;20194528-01;2019452801;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19944041;19944041;19944041;;;;;;;;;0;0;0;0;{'1': [], '2': []}
NSC0C55125-13CO;NSC0C55125-13CO;NSC0C5512513CO;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20109428;20109428;20109428;;;;60;;;;;0;60;0;60;{'1': [8275], '2': []}
20234551;20234551;20234551;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20235223;20235223;20235223;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20217175;20217175;20217175;;;;;;;;;0;0;0;0;{'1': [], '2': []}
