codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;total;matched_rows_per_source
20175802;20175802;20175802;;;840;;;840;0;0;840;{'1': [1952, 4706, 3491, 4131, 166, 1814, 1306, 4094]}
20067032;20067032;20067032;;;1950;;;1950;0;0;1950;{'1': [1186, 5124, 2949, 678, 1224, 2793, 1515, 3211, 270, 271, 2735, 2928, 2615, 1849, 2075, 2397, 5758, 2879]}
20006732;20006732;20006732;;;;;;0;0;0;0;{'1': []}
20006732;20006732;20006732;;;;;;0;0;0;0;{'1': []}
20027260;20027260;20027260;;;;;;0;0;0;0;{'1': []}
20083745;20083745;20083745;;;;;;0;0;0;0;{'1': []}
20102968;20102968;20102968;;;;;;0;0;0;0;{'1': []}
19955147;19955147;19955147;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
53444;53444;53444;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20058786;20058786;20058786;;;;;;0;0;0;0;{'1': []}
20154835;20154835;20154835;;;;;;0;0;0;0;{'1': []}
20108845;20108845;20108845;;;6;;;6;0;0;6;{'1': [433, 2818]}
20223087;20223087;20223087;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20194427;20194427;20194427;;;;;;0;0;0;0;{'1': []}
53444;53444;53444;;;;;;0;0;0;0;{'1': []}
#N/D;#N/D;ND;;;;;;0;0;0;0;{'1': []}
19993862;19993862;19993862;;;;;;0;0;0;0;{'1': []}
20175246-1;20175246-1;201752461;;;;;;0;0;0;0;{'1': []}
#N/D;#N/D;ND;;;;;;0;0;0;0;{'1': []}
20234571;20234571;20234571;;;;;;0;0;0;0;{'1': []}
19955262;19955262;19955262;;;1;;;1;0;0;1;{'1': [2684]}
19955608;19955608;19955608;;;;;;0;0;0;0;{'1': []}
63654;63654;63654;;;3;;;3;0;0;3;{'1': [3224]}
1981349-1;1981349-1;19813491;;;;;;0;0;0;0;{'1': []}
20157433;20157433;20157433;;;;;;0;0;0;0;{'1': []}
20194528-01;20194528-01;2019452801;;;;;;0;0;0;0;{'1': []}
19944041;19944041;19944041;;;317;91;;317;91;0;408;{'1': [4876, 5780, 1830, 4904, 4145, 4146, 3763, 5556, 6197, 4542, 1855, 6339, 2631, 6222, 6223, 6097, 4564, 4566, 4823, 5851, 2918, 3945, 5103, 5368, 3963, 2687]}
NSC0C55125-13CO;NSC0C55125-13CO;NSC0C5512513CO;;;;;;0;0;0;0;{'1': []}
20109428;20109428;20109428;;;240;;;240;0;0;240;{'1': [2770, 4980, 3933]}
20234551;20234551;20234551;;;;;;0;0;0;0;{'1': []}
20235223;20235223;20235223;;;;;;0;0;0;0;{'1': []}
20217175;20217175;20217175;;;;;;0;0;0;0;{'1': []}
20234171;20234171;20234171;;;;;;0;0;0;0;{'1': []}
20071181-2;20071181-2;200711812;;;;;;0;0;0;0;{'1': []}
20071182-3;20071182-3;200711823;;;;;;0;0;0;0;{'1': []}
19955262;19955262;19955262;;;1;;;1;0;0;1;{'1': [2684]}
19955608;19955608;19955608;;;;;;0;0;0;0;{'1': []}
63654;63654;63654;;;3;;;3;0;0;3;{'1': [3224]}
1981349-1;1981349-1;19813491;;;;;;0;0;0;0;{'1': []}
20157433;20157433;20157433;;;;;;0;0;0;0;{'1': []}
20194528-01;20194528-01;2019452801;;;;;;0;0;0;0;{'1': []}
20031822-4;20031822-4;200318224;;;;;;0;0;0;0;{'1': []}
20058363;20058363;20058363;;;;;;0;0;0;0;{'1': []}
19967652;19967652;19967652;;;;;;0;0;0;0;{'1': []}
20054465-1;20054465-1;200544651;;;;;;0;0;0;0;{'1': []}
226679-4;226679-4;2266794;;;;;;0;0;0;0;{'1': []}
20014490-1;20014490-1;200144901;;;;;;0;0;0;0;{'1': []}
56106-3;56106-3;561063;;;;;;0;0;0;0;{'1': []}
44969;44969;44969;;;;;;0;0;0;0;{'1': []}
227376;227376;227376;;;;;;0;0;0;0;{'1': []}
227365;227365;227365;;;;;;0;0;0;0;{'1': []}
33037;33037;33037;;;;;;0;0;0;0;{'1': []}
20070206;20070206;20070206;;;;;;0;0;0;0;{'1': []}
22899-2;22899-2;228992;;;;;;0;0;0;0;{'1': []}
33038;33038;33038;;;;;;0;0;0;0;{'1': []}
51612;51612;51612;;;;;;0;0;0;0;{'1': []}
20133287;20133287;20133287;;;;;;0;0;0;0;{'1': []}
20015207;20015207;20015207;;;;;;0;0;0;0;{'1': []}
20015216;20015216;20015216;;;;;;0;0;0;0;{'1': []}
30051;30051;30051;;;;;;0;0;0;0;{'1': []}
20075633;20075633;20075633;;;;;;0;0;0;0;{'1': []}
20040082-6;20040082-6;200400826;;;;;;0;0;0;0;{'1': []}
42722;42722;42722;;;;;;0;0;0;0;{'1': []}
19974623;19974623;19974623;;;;;;0;0;0;0;{'1': []}
