codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;cantidad_total_6;cantidad_parcial_6;cantidad_pendiente_6;cantidad_total_7;cantidad_parcial_7;cantidad_pendiente_7;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP22350;AP22350;AP22350;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22355;AP22355;AP22355;;;48;;;39;;;75;;;22;;;52;6;;30;19;;;4;;266;29;0;295;{'1': [9479, 14727, 14732, 14351, 6163, 6421, 6165, 12053, 6684, 14403, 9925, 14789, 4039, 7752, 10967, 13920, 7914, 6638, 3453], '2': [12804, 12551, 10250, 10266, 10651, 9644, 10542, 10544, 12473, 10169, 9793, 10318, 10066, 11226, 13928, 11119, 12406, 11127, 11772], '3': [12804, 3475, 3092, 11809, 9896, 299, 9263, 9647, 8631, 5181, 11200, 9167, 8016, 3026, 6614, 4312, 10713, 11870, 228, 229, 5990, 7140, 2027, 10603, 237, 9453, 9582, 2930, 7155, 5876, 9458, 759, 5247], '4': [7746, 7171, 8429, 6674, 854, 12119, 9529, 5946, 3996], '5': [1667, 517, 8458, 6038, 1306, 5021, 9629, 3627, 6446, 1713, 1333, 2882, 3395, 10706, 8659, 4823, 5723, 6876, 8419, 7268, 8420, 14054, 750, 7279, 8305, 6389], '6': [13062, 13702, 12555, 5774, 5137, 3490, 4261, 9132, 10926, 1967, 13874, 4663, 7481, 6982, 6983, 5195, 12620, 4960, 5216, 9953, 11495, 7018, 10990, 12398, 4850, 13427, 2293, 2678], '7': [6880, 6465, 1892, 2151, 2793, 426, 1322, 5193, 3569, 1522, 5971, 310]}
AP22359;AP22359;AP22359;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22360;AP22360;AP22360;;;660;;;120;;;1125;;;450;;;885;120;;390;270;;;;;3630;390;0;4020;{'1': [14372, 12696, 2150, 4807, 8906, 8651, 14986, 13297, 4274, 13362, 11896, 5722, 9595], '2': [10880, 9998, 13999], '3': [387, 7939, 11779, 3846, 12425, 8462, 13582, 1433, 7579, 4380, 2977, 9653, 4163, 7366, 2120, 2647, 7134, 6883, 12388, 7786, 6380, 503, 4986, 6779, 5886], '4': [5796, 6118, 8936, 7792, 9906, 7929, 13979, 8287, 7134, 6079], '5': [9411, 11140, 6661, 6298, 11146, 14809, 4910, 47, 7342, 2642, 10196, 3573, 12663, 3736, 3577, 1850, 5949], '6': [9605, 1448, 5096, 490, 5994, 6539, 6477, 1076, 2933, 5748, 25, 5114, 3070, 95], '7': [1150, 12079]}
AP22361;AP22361;AP22361;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22377;AP22377;AP22377;;;1;;;6;;;;;;10;;;;;;;;;;1;;17;1;0;18;{'1': [836], '2': [9025, 4713, 5849, 5615], '3': [], '4': [14453, 2959], '5': [], '6': [], '7': [2109, 1909]}
AP22387;AP22387;AP22387;;;;;;;;;;;;;;;;;;5;1;;;;;5;1;0;6;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [10117, 8670], '7': [9672, 12107]}
AP22388;AP22388;AP22388;;;90;;;375;;;255;;;40;;;180;60;;645;180;;;;;1585;240;0;1825;{'1': [1120, 8379, 9627], '2': [13250, 6600, 5518, 9651, 820, 7126, 30, 8601, 3390], '3': [7136, 7843, 7302, 12486, 2139, 7804, 7518], '4': [14524, 141], '5': [14818, 3427, 10621, 11631], '6': [9856, 9411, 9094, 14726, 9288, 5225, 4682, 459, 588, 6825, 7630, 9801, 6737, 8914, 1206, 6746, 8571, 6013], '7': [4211, 8086]}
AP22389;AP22389;AP22389;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22391;AP22391;AP22391;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22393;AP22393;AP22393;;;86;;;94;;;98;;;52;;;129;;;258;;;;;;717;0;0;717;{'1': [14819, 9259, 6191, 14961, 13012, 2362, 2620], '2': [8672, 12645, 214, 9497, 3098, 11103], '3': [9032, 9417, 3118, 14516, 2971, 9915], '4': [9163, 5918, 11515], '5': [12768, 3329, 13090, 13704, 11482, 11218, 14803, 10004, 13590, 11258], '6': [672, 5893, 6949, 7717, 7750, 8041, 8200, 461, 1935, 7791, 5268, 8760, 9178, 11068, 11325, 13662, 9855], '7': [9793, 11980, 9276, 2199]}
AP22396;AP22396;AP22396;;;14;;;14;;;42;;;56;;;42;;;;1;;;;;168;1;0;169;{'1': [2492], '2': [3601], '3': [14705, 9755, 10326], '4': [26, 2027, 10348, 9311], '5': [3593, 12626, 1253], '6': [11504, 8779], '7': [4716, 8231]}
AP22397;AP22397;AP22397;;;60;;;;;;;;;;;;60;;;;;;;;;120;0;0;120;{'1': [1563], '2': [], '3': [], '4': [], '5': [9889], '6': [], '7': []}
AP22398;AP22398;AP22398;;;300;;;120;;;;;;570;;;90;;;60;;;;;;1140;0;0;1140;{'1': [4805, 11400, 12171, 3286, 13752, 1562, 13756], '2': [11715, 13580], '3': [], '4': [7425, 7426, 1418, 10707, 11192, 4664], '5': [9606], '6': [9296], '7': [3945, 903]}
AP22399;AP22399;AP22399;;;39;;;21;;;22;;;38;;;19;2;;29;4;;;;;168;6;0;174;{'1': [1280, 7170, 5637, 10245, 1930, 1036, 14860, 8590, 11924, 6294, 411, 3871, 3876, 7596, 6584, 5949, 6466, 4804, 7757, 1870, 1359, 6357, 5737, 3434, 747, 11499, 8303, 8306, 10362], '2': [13126, 4903, 3144, 8167, 5770, 9129, 9226, 11825, 7764, 10325, 6262, 9591, 12027, 2590], '3': [6144, 11520, 8069, 3724, 909, 6541, 14220, 9500, 9630, 2719, 11426, 8116, 4277, 10552, 7106, 4552, 10957, 10707, 2132, 7036], '4': [6784, 10880, 13057, 6789, 5000, 1826, 4785, 11959, 13506, 12233, 8269, 12878, 975, 1743, 12112, 10074, 10589, 3681, 7394, 10593, 6120, 3819, 3583, 767], '5': [321, 4034, 14690, 4516, 1477, 6623, 11914, 2861, 10990, 10255, 14079, 8278, 10297, 9374, 1631], '6': [7174, 2823, 6671, 1297, 7322, 6173, 294, 3495, 10038, 6077, 3903, 10057, 3534, 4050, 6611, 4437, 4695, 9952, 9828, 4326, 1255, 8938, 4332, 4978, 8698, 6525], '7': [8425, 9700, 10301, 10389]}
AP22400;AP22400;AP22400;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22401;AP22401;AP22401;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22402;AP22402;AP22402;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22405;AP22405;AP22405;;;18;;;5;;;1;;;26;;;1;;;1;;;;;;52;0;0;52;{'1': [672, 2945, 2371, 955, 1958, 2749, 3399, 171, 1806, 2735, 2193, 1747, 1940, 2648, 795, 13916, 1533, 2399], '2': [7394, 195, 7741, 115, 5917], '3': [10059], '4': [3587, 12682, 8205, 1678, 1681, 2195, 1055, 2081, 7585, 12065, 12325, 2599, 3370, 3116, 7744, 1355, 9166, 2512, 14418, 1753, 1248, 2020, 11367, 1391, 1396, 1914], '5': [3201], '6': [5942], '7': []}
AP22412;AP22412;AP22412;;;3030;;;1910;;;3241;;;1560;;;3725;1980;;5025;3260;;210;300;;18701;5540;0;24241;{'1': [14082, 9731, 1797, 7557, 8328, 650, 8595, 9876, 8730, 6945, 1955, 7077, 7847, 2862, 6831, 12336, 3251, 12736, 321, 2626, 11335, 7628, 7756, 7758, 12623, 12496, 13137, 9430, 7517, 9183, 7521, 14177, 13668, 7525, 7551, 7529, 11243, 7535, 3317, 7541, 14073, 7547, 7295], '2': [3072, 6273, 9104, 3989, 1942, 7189, 4126, 2733, 4529, 7733, 951, 7224, 6074, 4538, 3394, 8525, 1872, 2386, 7890, 10199, 10856, 11634, 10612, 2553, 10878], '3': [14081, 775, 7431, 9995, 7053, 12046, 7183, 12558, 9874, 14482, 1941, 5781, 9625, 1182, 549, 11950, 2355, 8630, 13366, 5309, 7360, 12736, 13762, 12746, 3532, 4812, 1102, 6224, 13137, 7250, 8530, 13908, 1493, 5726, 13407, 6627, 9325, 6258, 7923, 6262, 13559, 6393], '4': [5506, 3623, 4600, 10635, 2700, 2540, 8657, 3314, 147, 9201, 5749, 7961, 10805, 3384, 2137, 8158], '5': [12800, 10629, 12805, 12551, 12806, 12807, 13448, 12043, 11280, 12433, 12435, 10775, 5528, 12055, 13722, 12699, 13084, 11549, 11422, 12190, 12450, 8611, 12453, 12199, 9000, 12073, 8106, 13101, 12462, 11953, 2994, 6197, 10551, 6331, 10428, 12866, 12868, 12229, 14917, 11464, 7753, 12489, 14668, 12750, 4815, 11345, 14674, 12243, 12499, 12500, 5462, 11135, 11737, 12634, 9821, 10974, 14303, 14052, 10471, 12522, 13291, 14189, 11118, 10735, 11633, 11761, 14835, 12666, 11645, 12670, 10495], '6': [10241, 14337, 11271, 8204, 8723, 8725, 1558, 10263, 9752, 8729, 1565, 7215, 5685, 2614, 2615, 4664, 1081, 10298, 9277, 13374, 11331, 7236, 8772, 74, 3147, 9292, 14410, 80, 10321, 82, 6226, 6739, 5721, 11866, 8795, 11367, 13417, 10348, 13935, 9841, 5235, 10358, 12920, 10366, 14979, 8324, 10383, 4240, 13455, 4242, 10388, 8855, 7836, 6303, 3238, 4790, 8900, 13521, 9939, 9950, 3807, 13534, 11489, 13538, 3821, 5891, 9475, 7945, 270, 8986, 5915, 14106, 3871, 11039, 14624, 6948, 13095, 1333, 10044, 1853, 10045, 4929, 9030, 13638, 3922, 7510, 6488, 6490, 6491, 7514, 10078, 13150, 14176, 14686, 14689, 2922, 9067, 1904, 9589, 4983, 896, 2944, 10114, 13306, 7046, 7558, 10118, 6537, 14221, 1938, 10132, 3478, 6039, 14234, 13724, 3485, 5021, 10144, 4003, 10148, 3003, 4027, 8635, 3008, 14284, 13263, 9680, 12257, 12779, 6125, 7150, 7152, 3060, 5620, 13815, 10234, 12286], '7': [10, 7205, 7213, 8242, 563, 11328, 4175, 1104, 84, 1620, 7765, 12896, 2163, 12915, 7293, 7814, 8338, 6294, 10910, 6314, 686, 6323, 11448, 8380, 9422, 8402, 10459, 9949, 10996, 247, 6395, 9984, 6403, 10516, 2327, 295, 1832, 2859, 9013, 12089, 6969, 1851, 8512, 11073, 12613, 1350, 6474, 5967, 9553, 6994, 10073, 10588, 8543, 8546, 9575, 9591, 12158, 11654, 9106, 4501, 1433, 11679, 9122, 3491, 429, 11183, 12211, 9144, 443, 9147, 10687, 964, 10700, 11744, 5091, 8678, 487, 8179, 12278, 10748]}
AP22413;AP22413;AP22413;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22429;AP22429;AP22429;;;1;;;;;;;;;5;;;;;;;;;;;;6;0;0;6;{'1': [4660], '2': [], '3': [], '4': [12323, 13800, 1930, 1913, 1887], '5': [], '6': [], '7': []}
AP22431;AP22431;AP22431;;;152;;;151;;;98;;;109;;;99;6;;212;54;;3;;;824;60;0;884;{'1': [11521, 2434, 10114, 3208, 5771, 10254, 9487, 7440, 14863, 7442, 12562, 8092, 6181, 11813, 11688, 6314, 11051, 13613, 4400, 11059, 7861, 2231, 1977, 13241, 956, 14141, 5695, 7104, 1858, 2115, 11334, 13769, 11214, 11982, 6736, 8529, 14673, 5715, 1364, 14928, 11478, 11864, 12382, 1631, 11744, 12383, 14558, 11365, 5479, 8167, 1897, 10600, 5104, 14835, 1653, 8053, 14330, 8443, 9854, 3455], '2': [12299, 10772, 7704, 4127, 14370, 7725, 11320, 11832, 8263, 3155, 7251, 1622, 1623, 3159, 3163, 3167, 3681, 3171, 3175, 13419, 2161, 7289, 9355, 3725, 6292, 3224, 8857, 2721, 6323, 9912, 2234, 6330, 6844, 7365, 6343, 5851, 227, 2278, 13031, 9448, 2281, 6901, 4350, 9504, 12576, 14638, 822, 11068, 7485, 9543, 10061, 7502, 335, 3408, 12110, 13677, 14713, 4990, 900, 14213, 12684, 14226, 12692, 7575, 12183, 6043, 1452, 2479, 1972, 1978, 1982, 9666, 4547, 13269, 7640, 4060, 8671, 12257, 7655, 7145, 7147, 6143], '3': [11394, 14467, 10374, 9607, 11144, 12423, 13067, 785, 7569, 6675, 5529, 6042, 8093, 10525, 8735, 9765, 2982, 3624, 13224, 14769, 4532, 2809, 1847, 12599, 14436, 13117, 1087, 5824, 12609, 14438, 8131, 9284, 12868, 13894, 461, 10701, 1489, 12369, 13782, 3035, 8285, 13664, 2531, 3812, 6629, 2918, 10340, 10855, 8569, 13286, 13674, 3180, 5741, 9324, 3695, 3951, 8816, 12782, 13174, 3192, 5369, 9850, 14847], '4': [7680, 3979, 3980, 3981, 12811, 13198, 13072, 1812, 8087, 3992, 13466, 929, 1059, 12835, 38, 4007, 7206, 12585, 9003, 5679, 9519, 9777, 12463, 6075, 3773, 1086, 4801, 4931, 11720, 718, 2127, 7889, 12755, 4055, 216, 4058, 8411, 7648, 2150, 10086, 7785, 363, 4331, 8175, 10867, 10103, 6904, 13820], '5': [7556, 5765, 14340, 5130, 651, 1037, 10257, 14865, 11543, 2328, 12953, 11546, 1053, 1438, 1830, 14887, 14253, 9135, 12207, 13105, 13951, 1972, 10037, 10038, 5048, 11835, 9405, 1344, 961, 10432, 11079, 5963, 12883, 9044, 10580, 13270, 5983, 2912, 13664, 12258, 14950, 14055, 3567, 10224, 12661, 13052, 12287], '6': [3590, 8198, 9225, 3601, 2583, 7704, 2585, 8217, 2075, 7196, 8220, 8222, 8223, 544, 4645, 4648, 8235, 4655, 7730, 2612, 6200, 8252, 8766, 3136, 2118, 6727, 590, 9815, 5723, 3167, 101, 4714, 8823, 4730, 6271, 8832, 7811, 1159, 6792, 3210, 3724, 5775, 2194, 8339, 8851, 1692, 1697, 1187, 677, 3750, 3751, 4775, 5801, 4275, 694, 6328, 7358, 4800, 3276, 206, 7892, 8408, 4313, 5350, 8942, 7922, 243, 4851, 7923, 5879, 8952, 6905, 8442, 2305, 3331, 2308, 6918, 775, 3848, 6923, 8974, 271, 784, 3856, 6929, 5907, 7959, 793, 4378, 795, 7961, 5917, 1831, 6952, 6956, 6958, 5936, 2356, 310, 313, 314, 7993, 7994, 5952, 3908, 8004, 4422, 8010, 7500, 7508, 1878, 2903, 1880, 8023, 7515, 7523, 5476, 9065, 368, 1393, 4466, 7539, 6517, 6522, 7550, 9089, 6022, 5512, 1418, 6026, 1939, 7572, 5020, 6047, 2977, 8614, 2986, 7596, 1968, 8624, 440, 3006, 7105, 7617, 5574, 1482, 4557, 2512, 7633, 1491, 3027, 4051, 10198, 3031, 3543, 9186, 8165, 7144, 8170, 6127, 10741, 8694, 2551, 6136, 7161, 3578, 7678], '7': [12800, 7176, 8200, 10249, 11145, 11915, 1037, 9745, 8341, 8855, 8345, 11686, 11431, 11052, 11437, 12335, 12719, 8370, 9396, 7478, 11706, 12606, 6848, 3017, 10956, 7120, 8029, 12410, 11495, 12775, 7153, 8437, 11383, 12026, 12285]}
AP22432;AP22432;AP22432;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22434;AP22434;AP22434;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22435;AP22435;AP22435;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22447;AP22447;AP22447;;;;;;114;;;;;;;;;;28;;;28;;;;;114;56;0;170;{'1': [], '2': [8362, 11384, 8138, 9018], '3': [], '4': [], '5': [11005], '6': [1010], '7': [2727]}
AP22449;AP22449;AP22449;;;120;;;;;;60;;;180;;;60;;;;;;;;;420;0;0;420;{'1': [6306, 4530], '2': [], '3': [9056], '4': [8243, 4396], '5': [11802], '6': [14671], '7': []}
AP22450;AP22450;AP22450;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP22451;AP22451;AP22451;;;;;;60;;;60;;;;;;;;;60;;;;;;180;0;0;180;{'1': [], '2': [3029], '3': [5803], '4': [], '5': [], '6': [2504], '7': []}
AP22476;AP22476;AP22476;;;299;;;417;;;427;;;180;;;213;;;166;;;;;;1702;0;0;1702;{'1': [1413, 1417, 9610, 6161, 1043, 20, 10645, 1430, 12978, 3774, 12992, 6474, 83, 14677, 9051, 2400, 3693, 1647, 13815, 6265, 4989, 7806], '2': [9477, 6416, 3858, 11926, 3353, 7194, 539, 9724, 3998, 1695, 7720, 9515, 7602, 9658, 7161, 9537, 9547, 7505, 3154, 8401, 3158, 6361, 3162, 6107, 3166, 12001, 3170, 3174, 4967, 14952, 8937, 4459, 1775, 8052, 8953, 6521, 1148], '3': [14851, 9097, 13459, 4245, 12437, 10144, 8226, 11941, 3367, 5163, 13099, 7085, 7091, 61, 704, 1092, 10053, 12612, 8396, 2382, 212, 6360, 11226, 8539, 13787, 3814, 13800, 4587, 5744], '4': [1601, 2913, 8452, 1253, 11460, 1064, 11113, 9322, 5771, 13736, 2446, 3760, 14960, 10770, 14260, 279, 13753, 13118], '5': [14497, 130, 12930, 452, 10680, 1471, 9033, 10121, 140, 3532, 13513, 14221, 14931, 632, 11709, 127], '6': [6624, 5249, 102, 9960, 173, 1709, 4910, 5886, 4914, 10142, 6421, 2710, 7798, 8184, 1084, 4702], '7': []}
AP22481;AP22481;AP22481;;;974;;;855;;;710;;;1212;;;888;;;696;60;;30;;;5365;60;0;5425;{'1': [1283, 1671, 1544, 2952, 3336, 1932, 5260, 2449, 14225, 531, 12565, 14742, 4119, 665, 796, 285, 1694, 8354, 11810, 165, 1447, 1575, 3369, 12584, 1323, 305, 3379, 14131, 565, 182, 1078, 1846, 1085, 5566, 10563, 2502, 585, 1099, 7509, 9432, 602, 12508, 12509, 14820, 231, 106, 3562, 492, 750, 241, 1523, 2036, 10100, 2170, 6267, 3196, 7165], '2': [7682, 2565, 6534, 6025, 2701, 16, 14995, 8853, 7958, 9373, 14110, 1824, 6822, 6443, 9006, 6961, 4914, 5938, 6834, 3894, 6326, 4024, 13628, 319, 4806, 8391, 7627, 7755, 4815, 2131, 4691, 3544, 8792, 730, 8028, 9441, 4452, 10214, 876, 6893, 9327, 6781, 6014, 13823], '3': [6791, 9610, 2331, 2469, 4654, 4785, 14001, 2484, 6837, 10164, 12219, 4156, 14523, 12478, 712, 14792, 14155, 7507, 4052, 9943, 6104, 5595, 12509, 3807, 1633, 101, 14694, 10731, 14700, 6639, 13168, 6129, 3700, 1014, 11382, 13694, 7935], '4': [7040, 12721, 4612, 7560, 3594, 6539, 396, 1548, 3597, 8204, 14731, 6545, 14993, 2324, 1045, 11412, 12566, 10778, 6939, 7707, 12316, 13340, 14238, 6944, 8736, 10148, 3877, 6949, 6567, 7975, 2729, 10660, 6059, 8493, 8497, 2994, 6451, 2868, 9908, 12213, 951, 2428, 2361, 4279, 13751, 6847, 3648, 11201, 5954, 6338, 11339, 2764, 590, 11858, 3798, 13274, 14426, 3580, 14176, 1379, 9060, 3559, 3947, 14444, 622, 2674, 10995, 2676, 14194, 4342, 2425, 2812, 3069], '5': [8705, 8707, 9092, 11018, 6539, 142, 2575, 5392, 9359, 9745, 9746, 12175, 14612, 9498, 2331, 7453, 7455, 10528, 7841, 14368, 4900, 6950, 8103, 13990, 6187, 14508, 181, 14005, 4412, 14397, 7614, 3392, 13760, 9026, 11971, 4292, 4295, 209, 1620, 5590, 6873, 602, 12132, 8677, 8166, 9574, 7528, 1001, 6762, 11880, 748, 14956, 11888, 7798], '6': [9, 4874, 8957, 1678, 4754, 6550, 4636, 159, 5536, 12964, 171, 6064, 3123, 4147, 5556, 5302, 7613, 1347, 1870, 4196, 14823, 1384, 3432, 4457, 619, 2668, 5485, 4464, 2298, 4477, 4734], '7': [7584, 8513, 5661, 12512, 4236, 7790, 10990, 7451, 10993, 9273, 1818, 7167, 11388, 6013, 3007]}
AP22482;AP22482;AP22482;;;4;;;5;;;;;;27;;;3;;;7;;;;;;46;0;0;46;{'1': [2936, 3451, 2911, 359], '2': [5442, 5652, 5845], '3': [], '4': [11905, 12418, 14465, 3333, 12421, 14858, 3085, 3472, 13840, 12434, 1939, 14502, 13995, 13870, 1841, 10552, 2746, 3276, 3278, 14802, 12002, 13546, 13177], '5': [240, 13137, 359], '6': [10788, 4840, 11752, 8490, 6927, 4079, 7762, 12341], '7': [5060, 581, 4486, 3147, 597]}
AP22490;AP22490;AP22490;;;2071;;;1890;;;3525;;;7320;;;7605;180;;1440;120;;;;;23851;300;0;24151;{'1': [10496, 6913, 4355, 5507, 6662, 5134, 12310, 6297, 8350, 7842, 11811, 10278, 4777, 7210, 10409, 14124, 14713, 6959, 8752, 4913, 6580, 6717, 4288, 13505, 4291, 12869, 10827, 9932, 11595, 8783, 14543, 8020, 13653, 10071, 11771, 10714, 11228, 4830, 9695, 8928, 12386, 8036, 14185, 4856, 9209, 3835, 7804, 11517], '2': [1024, 13954, 1795, 14338, 11143, 12169, 7564, 10899, 2198, 10903, 1047, 10399, 2208, 2083, 14012, 1857, 12742, 13771, 14027, 9681, 11218, 596, 9940, 12246, 14676, 14810, 9949, 11741, 14051, 1509, 11501, 880, 2935, 14204, 1534], '3': [9344, 1924, 1288, 11530, 3339, 14, 5391, 9232, 5009, 9614, 10510, 1429, 4504, 5401, 11290, 14106, 7069, 7710, 5023, 288, 3104, 7074, 4387, 11169, 3109, 1448, 4777, 4905, 2987, 4523, 10412, 12972, 8114, 2227, 11445, 3258, 10300, 1855, 11711, 450, 578, 325, 457, 6985, 9421, 12879, 10449, 3666, 12628, 6229, 10965, 3543, 4442, 347, 5981, 3554, 5731, 106, 2669, 1263, 6383, 5239, 2680, 3322, 507, 1405, 7551], '4': [4736, 9859, 6661, 8456, 4235, 6412, 10383, 6808, 5787, 6559, 8481, 9637, 4902, 6139, 5546, 428, 10236, 10924, 6575, 6703, 8239, 3894, 4662, 6199, 953, 2874, 8249, 10938, 14011, 4798, 8894, 10174, 193, 9794, 4803, 8900, 8261, 9798, 10431, 8392, 14150, 9802, 4299, 5579, 8268, 9421, 14161, 8915, 9686, 4955, 7676, 5853, 8797, 6751, 9693, 5857, 7525, 8808, 9963, 4718, 6768, 4209, 6386, 8944, 6136, 5369, 1787, 4860, 6781, 6655], '5': [9228, 1552, 5145, 8732, 1057, 7204, 11303, 4139, 9772, 558, 6703, 6710, 4155, 1098, 6730, 600, 2139, 3678, 7271, 4723, 7283, 2677, 10867, 5755, 7297, 9366, 1688, 2722, 12963, 1700, 1200, 4272, 2226, 4799, 8391, 10442, 4301, 8407, 7387, 2780, 5854, 8415, 9971, 7416, 11044, 13608, 5940, 11072, 3909, 4424, 1881, 7001, 6501, 1902, 2416, 6518, 7563, 6543, 10131, 916, 4503, 14240, 8100, 6585, 10170, 4546, 6085, 5579, 6603, 975, 6097, 2517, 3545, 1500, 14307, 1520, 1526], '6': [2818, 648, 138, 5645, 1436, 7965, 5163, 8883, 182, 5306, 5440, 9413, 5578, 3532, 2131, 9556, 5591, 3675, 6367, 8679, 4592, 3317, 10237, 1662], '7': []}
