codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
AP23541;AP23541;AP23541;;;930;;;930;0;0;{'1': [2465, 4899, 4296, 4379, 1304, 1307, 4413, 2463]}
AP22460;AP22460;AP22460;;;;;;0;0;0;{'1': []}
AP22365;AP22365;AP22365;;;21;42;;21;42;0;{'1': [461, 2870, 775]}
AP22459;AP22459;AP22459;;;;;;0;0;0;{'1': []}
AP21131;AP21131;AP21131;;;;;;0;0;0;{'1': []}
AP23766;AP23766;AP23766;;;;;;0;0;0;{'1': []}
AP22535;AP22535;AP22535;;;;;;0;0;0;{'1': []}
AP20957;AP20957;AP20957;;;;;;0;0;0;{'1': []}
AP20958;AP20958;AP20958;;;;;;0;0;0;{'1': []}
AP22293;AP22293;AP22293;;;;;;0;0;0;{'1': [3277]}
AP21083;AP21083;AP21083;;;;;;0;0;0;{'1': []}
AP20955;AP20955;AP20955;;;;;;0;0;0;{'1': []}
AP22126;AP22126;AP22126;;;;;;0;0;0;{'1': []}
AP21624;AP21624;AP21624;;;75;30;;75;30;0;{'1': [4707, 499, 4389, 725]}
AP20567;AP20567;AP20567;;;;;;0;0;0;{'1': []}
AP21165;AP21165;AP21165;;;;;;0;0;0;{'1': []}
AP23570;AP23570;AP23570;;;30;;;30;0;0;{'1': [2099]}
AP24226;AP24226;AP24226;;;;;;0;0;0;{'1': []}
AP23575;AP23575;AP23575;;;25;20;;25;20;0;{'1': [1506, 599, 2567, 110, 2863, 1463, 1244]}
AP21180;AP21180;AP21180;;;;;;0;0;0;{'1': []}
AP22803;AP22803;AP22803;;;;;;0;0;0;{'1': []}
AP22650;AP22650;AP22650;;;;;;0;0;0;{'1': []}
AP22647;AP22647;AP22647;;;;18;;0;18;0;{'1': [2255]}
AP24258;AP24258;AP24258;;;;;;0;0;0;{'1': []}
AP22648;AP22648;AP22648;;;20;50;;20;50;0;{'1': [4611, 4631, 4708, 4218, 4647, 4775, 4426, 4778, 4236, 4237, 4367, 4435, 4340, 4437, 4471, 4282, 4635]}
AP21893;AP21893;AP21893;;;;;;0;0;0;{'1': []}
AP22654;AP22654;AP22654;;;;;;0;0;0;{'1': []}
AP20553;AP20553;AP20553;;;;;;0;0;0;{'1': []}
AP22645;AP22645;AP22645;;;8;46;;8;46;0;{'1': [3426, 3300, 4486, 4487, 4591, 4208, 3315, 3316, 3669, 4341, 3383, 4280, 3195, 2943]}
AP23960;AP23960;AP23960;;;60;120;;60;120;0;{'1': [164, 3238, 138, 336, 4502, 4062]}
AP23027;AP23027;AP23027;;;;;;0;0;0;{'1': []}
AP21598;AP21598;AP21598;;;;;;0;0;0;{'1': []}
