codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
21969;21969;21969;;;;;;0;0;0;{'1': []}
36996;36996;36996;;;;;;0;0;0;{'1': []}
37000;37000;37000;;;90;;;90;0;0;{'1': [3059, 3060, 3061]}
AP20561;AP20561;AP20561;;;;;;0;0;0;{'1': []}
37001;37001;37001;;;;;;0;0;0;{'1': []}
AP22916;AP22916;AP22916;;;;;;0;0;0;{'1': []}
AP22037;AP22037;AP22037;;;;;;0;0;0;{'1': []}
35957;35957;35957;;;;;;0;0;0;{'1': []}
AP22345;AP22345;AP22345;;;;;;0;0;0;{'1': []}
AP24197;AP24197;AP24197;;;;;;0;0;0;{'1': []}
55138;55138;55138;;;3930;;;3930;0;0;{'1': [3848, 9, 1417, 2057, 1807, 3990, 151, 3355, 1436, 3483, 3742, 4008, 2091, 1198, 176, 1714, 308, 2101, 2228, 1209, 1600, 1217, 1985, 1861, 3526, 2504, 4043, 461, 2642, 3923, 3284, 855, 4057, 4441, 3939, 3175, 1640, 2027, 1134, 3956, 4468, 3063, 1017, 3070, 1663]}
AP24430;AP24430;AP24430;;;;;;0;0;0;{'1': []}
AP21653;AP21653;AP21653;;;;;;0;0;0;{'1': []}
A02BC0101C04;A02BC0101C04;A02BC0101C04;;;;;;0;0;0;{'1': []}
AP22764;AP22764;AP22764;;;;;;0;0;0;{'1': []}
18853;18853;18853;;;;;;0;0;0;{'1': []}
AP21293;AP21293;AP21293;;;;;;0;0;0;{'1': []}
PENDIENTE;PENDIENTE;PENDIENTE;;;499;91;;499;91;0;{'1': [4865, 643, 4355, 3080, 3592, 4234, 5005, 5133, 5007, 4882, 4890, 4891, 4765, 3614, 2080, 3616, 4000, 4901, 3110, 3880, 4522, 4781, 1327, 1328, 1329, 1841, 2993, 4155, 3133, 3906, 1480, 3147, 1620, 3294, 351, 363, 4971, 4078, 2290, 2931, 3831, 3068, 4477]}
A02BC0501C02;A02BC0501C02;A02BC0501C02;;;;;;0;0;0;{'1': []}
120636;120636;120636;;;;;;0;0;0;{'1': []}
AP21544;AP21544;AP21544;;;;;;0;0;0;{'1': []}
19946412;19946412;19946412;;;;;;0;0;0;{'1': []}
51158;51158;51158;;;;;;0;0;0;{'1': []}
80027;80027;80027;;;;;;0;0;0;{'1': []}
AP23409;AP23409;AP23409;;;;;;0;0;0;{'1': []}
54590;54590;54590;;;;;;0;0;0;{'1': []}
19951467-1;19951467-1;199514671;;;;;;0;0;0;{'1': []}
91875;91875;91875;;;;;;0;0;0;{'1': []}
56308;56308;56308;;;;;;0;0;0;{'1': []}
47583;47583;47583;;;;;;0;0;0;{'1': []}
AP22085;AP22085;AP22085;;;;;;0;0;0;{'1': []}
19955262-1;19955262-1;199552621;;;;;;0;0;0;{'1': []}
72733;72733;72733;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
AP22744;AP22744;AP22744;;;;;;0;0;0;{'1': []}
71717;71717;71717;;;;;;0;0;0;{'1': []}
164858;164858;164858;;;;;;0;0;0;{'1': [5130, 4814, 5015, 4632, 4572, 4605, 4574]}
52776;52776;52776;;;;;;0;0;0;{'1': []}
20124753;20124753;20124753;;;;;;0;0;0;{'1': []}
37118;37118;37118;;;;;;0;0;0;{'1': []}
20134372;20134372;20134372;;;;;;0;0;0;{'1': []}
54143;54143;54143;;;1;;;1;0;0;{'1': [2660]}
0;0;0;;;;;;0;0;0;{'1': []}
