codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP21134;AP21134;AP21134;;;506;90;;390;150;;431;30;;434;;;150;;;1911;270;0;2181;{'1': [14304, 6339, 4708, 3237, 9061, 11374, 11954, 12917, 150, 9241, 1853, 12287], '2': [3779, 1642, 8940, 10060, 2672, 1942, 5046, 7446, 11675, 6524, 2141], '3': [2592, 12162, 11907, 14438, 7551, 11720, 5898, 7595, 12267, 9037, 12141, 5300, 9878, 12409, 2394, 10940, 4479], '4': [12641, 11526, 9735, 4455, 14573, 14542, 7919, 13713, 6774, 14198, 7262], '5': [2086, 1138, 62]}
AP21143;AP21143;AP21143;;;30;60;;;120;;150;115;;60;110;;30;95;;270;500;0;770;{'1': [6952, 4962, 14378], '2': [4661, 4391], '3': [3653, 5706, 12047, 14482, 4924], '4': [7831, 33, 10479, 751], '5': [2673, 2055]}
AP21148;AP21148;AP21148;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [2688, 10699, 10637, 2258, 14556], '4': [2435, 2803], '5': []}
AP21173;AP21173;AP21173;;;1;;;;;;;;;;;;;;;1;0;0;1;{'1': [12920], '2': [], '3': [5312, 6744, 2575], '4': [5560], '5': []}
AP21175;AP21175;AP21175;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP21183;AP21183;AP21183;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP21186;AP21186;AP21186;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP21184;AP21184;AP21184;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP21185;AP21185;AP21185;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP21187;AP21187;AP21187;;;120;40;;120;;;90;;;180;;;;;;510;40;0;550;{'1': [7944, 610], '2': [2843], '3': [6440], '4': [10481], '5': []}
