codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP22802;AP22802;AP22802;;;;;;;;;;;;204;16;;;;;204;16;0;220;{'1': [], '2': [], '3': [], '4': [6656, 6660, 3861, 9114, 6432, 2983, 6443, 699, 6610, 725, 726, 6616, 6617, 6618, 730, 9185, 739, 3177, 3056, 3057], '5': []}
AP22804;AP22804;AP22804;;;;;;86;;;28;;;;;;;;;114;0;0;114;{'1': [], '2': [9176, 12194], '3': [10982], '4': [], '5': [8413]}
AP22810;AP22810;AP22810;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [12813]}
AP22835;AP22835;AP22835;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22840;AP22840;AP22840;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [9625]}
AP22838;AP22838;AP22838;;;6720;;;1791;60;;630;30;;15;;;;;;9156;90;0;9246;{'1': [383, 13959, 13330, 660, 1050, 282, 1438, 12447, 14879, 12835, 7334, 1577, 1706, 3501, 2097, 8241, 1075, 820, 314, 10556, 10940, 6334, 2117, 7493, 12616, 204, 7886, 9550, 3537, 5842, 8022, 8406, 14936, 7517, 9696, 1505, 2274, 10849, 13667, 3048, 6504, 10857, 12142, 2289, 242, 5875, 3446, 9468, 767], '2': [7808, 1411, 4228, 4612, 4750, 7573, 5528, 283, 4766, 6688, 6437, 6952, 5811, 5182, 13760, 3650, 2883, 7876, 5829, 5961, 5706, 1617, 5344, 2919, 7788, 4974, 6638, 13806, 4211, 5501, 8318], '3': [7809, 9099, 9869, 6429, 5022, 4640, 2081, 1831, 5166, 1845, 3013, 4166, 6481, 6490, 7388, 8159, 1892, 2789, 9836, 2801, 3829, 5238], '4': [755], '5': [9728, 12935, 11499, 8336, 9426, 11898, 11966]}
AP24151;AP24151;AP24151;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22839;AP22839;AP22839;;;90;;;;;;;;;;;;;;;90;0;0;90;{'1': [12834], '2': [], '3': [], '4': [], '5': []}
AP22850;AP22850;AP22850;;;2970;;;1100;;;240;;;;;;;;;4310;0;0;4310;{'1': [4099, 8460, 1167, 2577, 11539, 11289, 9241, 9498, 12198, 13228, 4013, 699, 10044, 7999, 2112, 7757, 591, 6230, 12635, 3174, 13426, 13173, 12669, 126], '2': [14988, 12817, 13331, 1429, 12438, 3991, 11299, 4776, 12336, 2739, 13364, 11707, 5573, 3920, 11857, 13136, 13392, 14299, 3426, 4327, 7271, 6249, 5741, 14319, 13683], '3': [1600, 8100, 2539, 339, 788, 1974, 5145, 5531], '4': [], '5': [12169, 11587, 11837, 12003]}
AP22855;AP22855;AP22855;;;;;;;;;;;;9;;;6;;;15;0;0;15;{'1': [], '2': [], '3': [], '4': [11846, 11275, 9870], '5': [2465, 5639, 5296, 7638, 6203, 1535]}
